px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.9072	-10.7433	-2.6131	1.78485	-0.243742	9.86786	-10.8223	9.85	-10.8	0	-2.72846	3013.67
9.90974	-10.9037	-2.6354	1.74863	-0.266051	9.8455	-10.9408	9.85	-10.95	0	-2.72844	8052.34
9.92482	-11.044	-2.60642	1.72583	-0.276445	9.84594	-11.0973	9.85	-11.1	0	-2.72748	3100.93
9.91363	-11.2081	-2.63427	1.68408	-0.302275	9.83549	-11.2481	9.85	-11.25	0	-2.72745	8292.7
9.93302	-11.3492	-2.67941	1.67398	-0.294074	9.8926	-11.4631	9.85	-11.4	0	-2.9967	3229.99
9.92117	-11.5072	-2.71549	1.63762	-0.315124	9.87136	-11.5692	9.85	-11.55	0	-2.99671	8624.4
9.9024	-11.6417	-2.59092	1.59014	-0.357867	9.89882	-11.7746	9.8	-11.7	-0.909227	-2.72768	3323.37
9.85892	-11.8127	-2.63577	1.53531	-0.391948	9.74749	-11.8623	9.75	-11.85	-0.909218	-2.72765	8779.79
9.82583	-11.9443	-2.53699	1.48448	-0.432675	9.75738	-12.0161	9.7	-12	-0.908714	-2.72613	3386.36
9.76721	-12.1095	-2.58467	1.42676	-0.465292	9.65408	-12.1513	9.65	-12.15	-0.908706	-2.7261	8964.9
9.70081	-12.2246	-2.42974	1.34875	-0.538585	9.60373	-12.2428	9.6	-12.25	-0.909639	-1.81931	3444.45
9.63795	-12.3592	-2.44559	1.29742	-0.5593	9.54006	-12.3354	9.55	-12.35	-0.90964	-1.8193	9053.98
9.53533	-12.4478	-2.24204	1.18427	-0.674181	9.38815	-12.3607	9.45	-12.45	-1.81824	-1.81825	3467.31
9.45393	-12.5653	-2.26346	1.12478	-0.695279	9.35049	-12.5377	9.35	-12.55	-1.81823	-1.81823	9122.49
9.34383	-12.6554	-2.1415	1.00706	-0.807123	9.33568	-12.8372	9.2	-12.65	-2.72578	-1.81718	3631.35
9.22052	-12.7691	-2.20542	0.924242	-0.842496	9.04708	-12.7528	9.05	-12.75	-2.72576	-1.81717	9136.23
9.12433	-12.8561	-2.19042	0.851091	-0.877926	8.97697	-12.8161	8.95	-12.85	-1.8192	-1.81921	3589.32
8.99428	-12.9569	-2.25394	0.77315	-0.904484	8.84904	-12.9423	8.85	-12.95	-1.81921	-1.81921	9195.22
8.88034	-13.0319	-2.25381	0.695443	-0.940047	8.64934	-12.9537	8.7	-13.05	-2.72781	-1.81854	3615.43
8.72099	-13.1321	-2.36082	0.612752	-0.966187	8.5479	-13.1496	8.55	-13.15	-2.7278	-1.81853	9199.02
8.50809	-13.1711	-2.43575	0.411752	-1.17057	8.43462	-13.263	8.4	-13.15	-2.72644	0	3752.56
8.35656	-13.2138	-2.46425	0.330023	-1.18574	8.26001	-13.1483	8.25	-13.15	-2.72641	0	9009.92
8.17536	-13.2319	-2.58617	0.195842	-1.28925	8.10139	-13.1447	8.1	-13.15	-3.00083	0	3686.55
8.02938	-13.2403	-2.60109	0.117115	-1.30168	7.95138	-13.1593	7.95	-13.15	-3.00084	0	8854.82
7.92253	-13.2633	-2.49908	0.0839638	-1.24564	7.85182	-13.2702	7.8	-13.2	-2.72553	-0.908516	3697.24
7.75059	-13.2766	-2.56489	0.00995345	-1.24695	7.64076	-13.2654	7.65	-13.25	-2.72554	-0.908516	8755.55
7.56143	-13.2527	-2.72314	-0.106374	-1.31737	7.51359	-13.2891	7.5	-13.2	-2.72544	0.908483	3740.81
7.40423	-13.2171	-2.73084	-0.189754	-1.32688	7.35762	-13.1417	7.35	-13.15	-2.72544	0.908483	8447.19
7.2895	-13.2016	-2.59643	-0.233947	-1.28171	7.19553	-13.2012	7.2	-13.15	-2.73035	0	3662.97
7.12794	-13.1678	-2.64202	-0.301763	-1.27661	7.05296	-13.1563	7.05	-13.15	-2.73035	0	8288.13
7.00251	-13.1333	-2.57555	-0.357573	-1.25438	6.87644	-13.2105	6.85	-13.15	-3.63616	0	3672.7
6.81803	-13.1017	-2.67313	-0.405203	-1.2292	6.672	-13.1364	6.65	-13.15	-3.63617	0	8067.15
6.74379	-13.0921	-2.33229	-0.423266	-1.14679	6.53838	-13.1322	6.55	-13.15	-1.81656	0	3612.7
6.58059	-13.0689	-2.41015	-0.454273	-1.11331	6.46904	-13.1587	6.45	-13.15	-1.81657	0	7993.45
6.45941	-13.012	-2.39583	-0.509695	-1.10446	6.22921	-13.0167	6.3	-13.1	-2.73109	0.910352	3612.11
6.29224	-12.9719	-2.47696	-0.537038	-1.07006	6.15723	-13.0319	6.15	-13.05	-2.73109	0.91036	7720.87
